Symbol,RSA_Down,RSA_Up,Q1,Q3
A1BG,-0.647879494,-0.62820552,-0.576569963,0.921587103
A1CF,-0.352315801,-1.10497103,0.190758184,1.056216596
A2M,-1.35460326,-0.25856319,-1.159236616,-0.258686331
A2ML1,-0.882487422,-0.750401357,-1.218163794,1.065474638
A4GALT,-0.691250024,-0.441011286,-0.460632577,0.314915415
A4GNT,-0.37294155,-1.226442734,-0.050477742,0.365101514
AAAS,-1.449668986,-0.957292797,-1.1588288,1.296187226
AACS,-0.415990726,-2.101194169,0.827115371,0.907183494
AADAC,-0.524600222,-0.843107171,-0.334703625,0.185310516
AADACL2,-0.442704934,-1.411412035,0.044106103,0.81978967
AADACL3,-3.357443391,-0.036704211,-2.738829302,-0.678473494
AADACL4,-0.335087997,-0.70484852,-0.305743558,0.422025486
AADAT,-0.995803682,-0.445083096,-0.279814544,0.161908382
AAED1,-0.641227153,-0.530483051,-0.184689227,0.07266531
AAGAB,-0.05953179,-1.444638781,0.254560406,1.221763195
AAK1,-0.322387378,-0.708448103,-0.186414438,0.462999567
AAMDC,-1.334332151,-0.581593021,-0.696564873,0.055963472
AAMP,-0.358326758,-1.207530064,-0.566550442,1.567522489
AANAT,-0.609301426,-1.21251023,0.054792872,0.100940741
AAR2,-0.413835981,-0.431619758,-0.631546488,0.489461092
AARD,-0.358906729,-1.338494483,-0.567458272,1.715974965
AARS,-0.328045942,-1.372684339,0.061069006,1.142738588
AARS2,-1.352713544,-0.259565948,-1.209865631,-0.427179496
AARSD1,-0.719351195,-0.441212158,-0.556648178,0.489999797
AASDH,-0.691314424,-0.563423383,-0.276856036,0.400626467
AASDHPPT,-0.167244759,-1.111798791,0.276365455,0.998800213
AASS,-0.479663561,-1.21567852,0.003331074,0.917920798
AATF,-2.186532873,-1.073315369,-0.355915098,1.426387461
AATK,-1.108057425,-1.346663681,-0.008054439,0.202859936
ABAT,-0.600447691,-0.556240247,-0.316593029,0.10901831
ABCA1,-0.51666189,-1.001075011,0.113755664,0.748795952
ABCA10,-0.698216287,-0.585975223,-0.259198566,0.431588461
ABCA12,-0.457920758,-0.55074576,-0.163478179,0.258913857
ABCA13,-0.475795112,-1.105948262,-0.730758404,0.895695836
ABCA2,-1.158577418,-0.441511377,-0.283870618,0.154867277
ABCA3,-0.211339551,-1.007877665,-0.084348689,0.646513802
ABCA4,-0.535990958,-0.937790978,-0.166260846,0.17289855
ABCA5,-0.747157992,-0.334128998,-0.859584749,0.076410654
ABCA6,-0.546338064,-0.763270624,0.027382712,0.246921827
ABCA7,-0.542467592,-0.493729811,-0.224967758,0.166538155
ABCA8,-0.623867223,-0.223230912,-0.91738865,0.335470707
ABCA9,-1.606849109,-0.168438231,-0.953460826,-0.569806496
ABCB1,-0.345809018,-0.490953987,-0.548355112,0.750723189
ABCB10,-0.13341959,-1.063753456,0.243977081,1.163814077
ABCB11,-0.324969989,-0.758648495,-0.267428548,0.46723758
ABCB4,-0.655356045,-0.655636348,-0.786099088,0.514319752
ABCB5,-0.609050541,-0.720914302,-0.289287721,0.101161923
ABCB6,-0.581868563,-0.639261449,-0.225597024,0.406889207
ABCB7,-1.145034318,-0.563271595,-0.594580505,-0.301933147
ABCB8,-0.517018463,-1.422927276,0.034506391,0.737654088
ABCB9,-0.411345089,-0.688591637,-0.103934127,0.991476899
ABCC1,-2.22098846,-0.091850933,-1.252018231,-0.88823866
ABCC10,-0.498231789,-1.214584994,-0.596535603,0.972273804
ABCC11,-0.933718779,-1.007132709,-0.300193716,-0.112556468
ABCC12,-0.489116041,-0.342303516,-0.505770912,0.264883113
ABCC2,-0.29099049,-1.166530569,-0.388897608,0.847814653
ABCC3,-1.05497586,-0.439833219,-1.335634742,0.682995484
ABCC4,-0.720972967,-0.577800215,-0.529794691,0.004530557
ABCC5,-0.287271367,-1.277201149,-0.133031024,0.52335261
ABCC6,-0.791512697,-0.750890149,-0.135384805,0.108717582
ABCC8,-0.67495396,-1.070962461,0.074741287,0.577852903
ABCC9,-0.965927482,-0.951142126,-0.216842363,0.107490096
ABCD1,-0.446315959,-0.476445115,-0.243267991,0.273235332
ABCD2,-1.276400345,-0.331972064,-1.010767218,-0.380844405
ABCD3,-0.276723622,-1.372419939,0.035134418,0.517795728
ABCD4,-1.094286905,-0.210528637,-1.327076042,0.199916412
ABCE1,-0.904572501,-0.39950735,-0.334085278,0.167109475
ABCF1,-0.218004421,-0.858061581,0.004298227,1.04054917
ABCF2,-1.153512036,-0.126155096,-1.142522613,-0.2473954
ABCF3,-0.987940322,-0.152273835,-0.800314345,-0.1994519
ABCG1,-1.717201651,-0.497493362,-0.662878037,-0.252060163
ABCG2,-0.839423313,-0.37186099,-1.168978198,0.105089152
ABCG4,-0.418135369,-0.650349473,-0.652398689,0.947927388
ABCG5,-0.850077443,-0.508654429,-0.772258771,-0.100074347
ABCG8,-2.34518598,-0.100222178,-0.990624409,-0.435142342
ABHD1,-1.6084337,-0.097967691,-1.944614582,-0.389781932
ABHD10,-1.369107438,-0.363140876,-1.065119655,-0.4368049
ABHD11,-0.783770654,-0.418005645,-0.838906408,0.403468863
ABHD12,-0.791095186,-0.571472466,-1.046667078,0.560314614
ABHD12B,-0.410815451,-0.845504941,-0.170958492,0.975172182
ABHD13,-0.818078183,-0.726208825,-0.197606906,0.385968853
ABHD14A,-2.046913378,-0.345270399,-2.111002877,0.546283794
ABHD14B,-0.628365389,-1.692779907,-0.922540818,1.521980292
ABHD15,-0.874737869,-0.637368375,-0.700972881,0.232219642
ABHD16A,-1.099725913,-0.196148555,-0.681921332,-0.273686285
ABHD16B,-1.035320415,-0.498730652,-0.539160044,0.188740205
ABHD17A,-0.956292768,-0.206944689,-1.13173534,0.12630843
ABHD17B,-0.364210936,-1.319509607,0.103860658,1.691384336
ABHD17C,-1.796760159,-0.933979485,-0.48545626,1.271892279
ABHD2,-0.784745305,-0.472603308,-0.513575378,0.398559787
ABHD3,-0.238918376,-1.415486325,0.281320877,1.260619407
ABHD4,-0.743753119,-0.664751152,-0.221286337,0.522774545
ABHD5,-0.348930251,-0.863245714,0.103821612,0.481717587
ABHD6,-2.315390995,-0.402840445,-0.946524268,-0.414328299
ABHD8,-0.442561899,-0.733540496,-0.685739982,0.848600039
ABI1,-0.440207983,-0.878127187,-0.316724376,0.330601161
ABI2,-0.350505539,-0.820984914,-0.490974896,1.144082036
ABI3,-0.187541474,-1.066681816,0.212118307,1.156239338
ABI3BP,-1.044993707,-0.3061737,-0.932211491,-0.237895561
ABL1,-0.951024184,-0.221990489,-0.752526032,-0.172961728
ABL2,-0.33059518,-0.7405891,0.010138591,0.429044804
ABLIM1,-1.274588878,-1.328090617,-1.158290393,-0.245078175
ABLIM2,-0.891368319,-1.35895476,-0.939797855,1.738089535
ABLIM3,-1.050982845,-0.742827813,-1.40953471,0.79423768
ABO,-0.214325303,-1.84905294,0.1995079,0.84550469
ABR,-0.242595418,-1.068279454,-0.258363584,0.709977118
ABRA,-0.213723146,-2.036790546,-0.319864161,0.68530203
ABRACL,-0.733583811,-1.231381456,-0.067617968,0.343137947
ABT1,-0.880344432,-0.498318143,-0.607040239,-0.121547313
ABTB1,-0.089213813,-1.690902664,0.397425469,2.138788716
ABTB2,-0.960493887,-0.323338509,-0.774686226,-0.1798859
ACAA1,-0.771163915,-0.351043529,-0.399618073,0.465589818
ACAA2,-0.772319942,-0.243719883,-1.090819088,0.238616418
ACACA,-1.273217175,-0.953338525,-1.657249682,0.670984627
ACACB,-0.808605935,-0.401093076,-0.570607102,0.066729332
ACAD10,-0.638606609,-2.317281393,0.935511582,1.846525296
ACAD11,-2.722274968,-1.483739599,-3.47332825,1.885997505
ACAD8,-0.544635403,-0.819537749,-0.589190721,1.141799774
ACAD9,-0.218983339,-0.993047356,0.075953548,1.134085379
ACADL,-0.309844328,-1.388163647,-0.023488756,0.577066746
ACADM,-0.659756897,-0.561966651,-0.56299652,0.056425517
ACADS,-0.951317987,-0.343986247,-1.296161376,0.171937057
ACADSB,-1.287144758,-0.433963835,-0.841118222,-0.387603979
ACADVL,-1.558544479,-0.245333289,-1.277381403,-0.114007338
ACAN,-0.784322072,-0.352012814,-1.105333028,0.407159629
ACAP1,-1.053169025,-0.614717536,-1.301232373,0.174375379
ACAP2,-0.459062377,-0.468224558,-0.269995004,0.720979194
ACAP3,-1.312961932,-0.894365796,-0.294660269,-0.063647973
ACAT1,-0.404900399,-0.544170445,-0.614898706,0.32261297
ACAT2,-0.259117288,-1.282299336,0.381799339,0.926415982
ACBD3,-0.314583903,-0.793895918,-0.074457176,1.113659557
ACBD4,-0.470330565,-1.577349648,0.250611362,0.455437953
ACBD5,-3.268278365,-0.370941422,-2.182148258,-0.001822166
ACBD6,-0.561996989,-0.502830525,-0.50373927,0.429718416
ACBD7,-1.53666415,-0.16885605,-1.960284618,-0.224820057
ACCS,-1.488236809,-0.826408115,-1.547134148,0.647654222
ACCSL,-2.01557179,-0.659709124,-2.557961992,0.957525981
ACD,-0.987764205,-1.932939876,0.741825822,1.569085459
ACE,-1.415183747,-0.652286065,-0.499871839,-0.122560301
ACE2,-1.129684023,-0.422211779,-0.383956073,-0.293047109
ACER1,-0.644552865,-0.401366646,-0.732554672,0.162353775
ACER2,-0.25274052,-1.186038057,0.177117795,1.008398046
ACER3,-1.434051786,-0.445578545,-0.829584025,-0.474176322
ACHE,-0.916541277,-0.662045378,-0.057857328,0.078399589
ACIN1,-0.760277177,-0.29871663,-1.069689374,0.357943483
ACKR1,-0.921240846,-3.698117768,1.619547439,2.09603397
ACKR2,-1.726556966,-0.053937544,-1.273264809,-0.353472451
ACKR3,-1.083501465,-1.015378698,-0.305654037,-0.161392401
ACKR4,-0.552733092,-1.008721101,0.207031783,0.669001154
ACLY,-0.675595224,-0.879577001,-0.979234239,0.676770011
ACMSD,-0.984904737,-0.255140837,-1.335191705,0.166067109
ACO1,-0.103580632,-1.570475733,-0.047436637,1.644596775
ACO2,-2.612048487,-1.988622325,-3.335749902,2.494860517
ACOT1,-0.654722705,-0.650831715,-0.636789743,0.486191779
ACOT11,-0.198382668,-1.960770368,0.756555488,0.872225807
ACOT12,-1.21771529,-0.217906947,-0.633063904,0.080047408
ACOT13,-0.94206887,-1.136075256,-0.028156888,0.161241157
ACOT2,-0.427224295,-1.037745006,0.22630397,0.611149511
ACOT4,-0.153120739,-1.21240925,-0.138728119,1.454564881
ACOT6,-0.520964463,-0.751180173,-0.789060897,0.516484914
ACOT7,-1.496823492,-0.554112629,-1.426925278,-0.114415799
ACOT8,-1.460477372,-0.473126091,-1.870828732,0.071058578
ACOT9,-0.908127747,-0.54510346,-0.463944474,0.137474857
ACOX1,-1.037471976,-1.203400715,-0.175383405,-0.071247908
ACOX2,-0.516127139,-0.501859049,-0.688537282,0.765469635
ACOX3,-0.827828467,-0.323039538,-0.892763715,-0.082523066
ACOXL,-1.030346022,-0.374437571,-0.72438235,-0.13124387
ACP1,-1.379760116,-0.181881601,-0.717203364,-0.442922934
ACP2,-0.999373241,-0.174378906,-1.351706207,-0.163901828
ACP5,-1.095841717,-0.40176931,-0.752391821,0.165461782
ACP6,-0.758814574,-0.562725244,-0.740315022,0.01881838
ACPP,-0.422894623,-0.79387446,-0.40361111,0.38412064
ACPT,-1.342142148,-0.197568553,-1.38576318,0.045502224
ACR,-0.727256185,-1.174295048,0.314341724,0.519482097
ACRBP,-0.60365486,-0.928092804,0.152020133,0.422584067
ACRC,-0.285360982,-0.875672772,0.113052882,0.881736469
ACRV1,-0.756092474,-0.762338451,-0.176870516,0.169885726
ACSBG1,-0.534472804,-1.119607024,0.281251851,0.509597131
ACSBG2,-0.484180837,-0.512967705,-0.693114258,0.446041392
ACSF2,-0.765881441,-1.084468115,-0.559343433,1.439018333
ACSF3,-0.395859389,-0.944789064,0.163462839,0.777553055
ACSL1,-0.202426381,-1.338536106,-0.045283671,0.790112099
ACSL3,-0.329777927,-0.718618804,-0.524020534,0.814328359
