id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
CD3G	3	1.6452e-11	2.6194e-07	0.000291	1	3	-3.2986	1.0	1.0	1.0	18899	0	-3.2986
CD28	3	1.8526e-10	2.6194e-07	0.000291	2	3	-2.1833	1.0	1.0	1.0	18898	0	-2.1833
SRP68	3	2.0289e-10	2.6194e-07	0.000291	3	3	-2.6208	1.0	1.0	1.0	18897	0	-2.6208
VAV1	3	3.0797e-10	2.6194e-07	0.000291	4	3	-3.804	1.0	1.0	1.0	18896	0	-3.804
LCP2	3	5.0834e-10	2.6194e-07	0.000291	5	3	-2.6406	1.0	1.0	1.0	18895	0	-2.6406
ZAP70	3	6.5455e-10	2.6194e-07	0.000291	6	3	-3.1615	1.0	1.0	1.0	18894	0	-3.1615
SRP19	3	2.4161e-09	2.6194e-07	0.000291	7	3	-1.7462	1.0	1.0	1.0	18893	0	-1.7462
RAC2	3	4.5543e-09	2.6194e-07	0.000291	8	3	-1.6254	1.0	1.0	1.0	18892	0	-1.6254
CD3E	3	6.1585e-09	2.6194e-07	0.000291	9	3	-2.6899	1.0	1.0	1.0	18891	0	-2.6899
LCK	3	7.2813e-09	2.6194e-07	0.000291	10	3	-1.4192	1.0	1.0	1.0	18890	0	-1.4192
TRAF6	3	1.5616e-08	2.6194e-07	0.000291	11	3	-1.7797	1.0	1.0	1.0	18889	0	-1.7797
SPTLC2	3	4.6153e-08	2.6194e-07	0.000291	12	3	-1.8292	1.0	1.0	1.0	18888	0	-1.8292
CD2	3	6.8704e-08	2.6194e-07	0.000291	13	3	-2.363	1.0	1.0	1.0	18887	0	-2.363
VPS35	3	7.2296e-08	2.6194e-07	0.000291	14	3	-1.0871	1.0	1.0	1.0	18886	0	-1.0871
PCYT2	3	7.3213e-08	2.6194e-07	0.000291	15	3	-1.3651	1.0	1.0	1.0	18885	0	-1.3651
MAP3K7	3	9.3219e-08	2.6194e-07	0.000291	16	3	-1.0692	1.0	1.0	1.0	18884	0	-1.0692
CD247	3	9.7057e-08	2.6194e-07	0.000291	17	3	-2.1475	1.0	1.0	1.0	18883	0	-2.1475
ITK	3	6.978e-07	2.3575e-06	0.002345	18	2	-1.7179	0.95266	0.95295	1.0	17841	0	-1.7179
PLCG1	3	8.6641e-07	2.3575e-06	0.002345	19	3	-2.785	1.0	1.0	1.0	18882	0	-2.785
CD3D	3	1.2291e-06	4.4531e-06	0.004208	20	2	-2.8029	0.64385	0.64452	1.0	11936	1	-2.8029
WAS	3	1.513e-06	5.5008e-06	0.00495	21	3	-1.3878	1.0	1.0	1.0	18881	0	-1.3878
LAT	3	2.4066e-06	8.1203e-06	0.006976	22	3	-1.1127	1.0	1.0	1.0	18880	0	-1.1127
