id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
VAV1	3	8.9465e-11	2.6194e-07	0.00055	1	3	-3.686	1.0	1.0	1.0	18899	0	-3.686
CD3G	3	1.6864e-10	2.6194e-07	0.00055	2	3	-3.6187	1.0	1.0	1.0	18898	0	-3.6187
IL2	3	2.0285e-10	2.6194e-07	0.00055	3	3	-2.9636	1.0	1.0	1.0	18897	0	-2.9636
ZAP70	3	3.3252e-10	2.6194e-07	0.00055	4	3	-2.9375	1.0	1.0	1.0	18896	0	-2.9375
LCP2	3	4.7546e-10	2.6194e-07	0.00055	5	3	-2.1399	1.0	1.0	1.0	18895	0	-2.1399
GRAP2	3	1.0802e-09	2.6194e-07	0.00055	6	3	-1.6152	1.0	1.0	1.0	18894	0	-1.6152
CD2	3	3.1412e-09	2.6194e-07	0.00055	7	3	-2.3651	1.0	1.0	1.0	18893	0	-2.3651
DEF6	3	6.8916e-09	2.6194e-07	0.00055	8	3	-1.2805	1.0	1.0	1.0	18892	0	-1.2805
CD247	3	3.3338e-08	2.6194e-07	0.00055	9	3	-1.9688	1.0	1.0	1.0	18891	0	-1.9688
CD3D	3	2.2168e-07	7.8583e-07	0.001485	10	3	-2.474	0.97699	0.97718	1.0	18375	0	-2.474
CD28	3	4.7067e-07	1.3097e-06	0.00225	11	3	-1.8064	1.0	1.0	1.0	18890	0	-1.8064
CD3E	3	1.7454e-06	6.0247e-06	0.009488	12	3	-2.0739	0.99996	0.99996	1.0	18885	0	-2.0739
SRP68	3	2.4203e-06	8.1203e-06	0.011805	13	3	-1.7271	1.0	1.0	1.0	18889	0	-1.7271
RAC2	3	5.299e-06	1.755e-05	0.023692	14	3	-1.1206	0.99999	0.99999	1.0	18888	0	-1.1206
SRP19	3	5.9748e-06	2.017e-05	0.025413	15	3	-1.4836	0.99577	0.99586	1.0	18768	0	-1.4836
ITK	3	7.8878e-06	2.8028e-05	0.033106	16	3	-1.4718	0.98017	0.9803	1.0	18431	0	-1.4718
SPCS3	3	1.2941e-05	4.5316e-05	0.047277	17	2	-1.8197	0.65589	0.65678	1.0	12129	1	-1.8197
TRAF6	3	1.2982e-05	4.584e-05	0.047277	18	3	-0.82802	0.99999	0.99999	1.0	18887	0	-0.82802
SHOC2	3	1.4011e-05	4.8984e-05	0.047277	19	3	-0.87125	0.99999	0.99999	1.0	18886	0	-0.87125
TAF13	3	1.463e-05	5.0031e-05	0.047277	20	3	-1.0779	0.99972	0.99971	1.0	18867	0	-1.0779
VPS29	3	1.6422e-05	5.4746e-05	0.049269	21	3	-1.3789	0.99309	0.99323	1.0	18704	0	-1.3789
CASD1	3	2.6309e-05	8.4608e-05	0.072682	22	2	-0.31701	0.83661	0.8366	1.0	15579	0	-0.31701
LAT	3	4.3948e-05	0.00014066	0.113655	23	3	-1.1901	0.99995	0.99995	1.0	18884	0	-1.1901
CXCL13	3	4.5979e-05	0.00014433	0.113655	24	3	-0.7095	0.99708	0.99712	1.0	18799	0	-0.7095
TAF3	3	5.3894e-05	0.00016581	0.124646	25	3	-0.99432	0.99588	0.99597	1.0	18772	0	-0.99432
DAD1	3	5.6672e-05	0.00017524	0.124646	26	3	-0.90998	0.99994	0.99995	1.0	18883	0	-0.90998
IFNGR2	3	5.7491e-05	0.00017838	0.124646	27	3	-1.0222	0.99994	0.99995	1.0	18882	0	-1.0222
TAF2	3	5.8754e-05	0.00018467	0.124646	28	3	-0.68134	0.99994	0.99994	1.0	18881	0	-0.68134
ELOF1	3	7.6025e-05	0.00023549	0.15	29	3	-0.78574	0.99988	0.99988	1.0	18875	0	-0.78574
SULT2B1	3	7.7086e-05	0.00023811	0.15	30	3	-0.51625	0.99992	0.99992	1.0	18880	0	-0.51625
CA1	3	8.2198e-05	0.00025068	0.152827	31	3	-0.65787	0.99992	0.99991	1.0	18879	0	-0.65787
PIP4K2A	3	8.6963e-05	0.00026116	0.154239	32	3	-0.5473	0.99991	0.99991	1.0	18878	0	-0.5473
PLCG1	3	0.00010688	0.00033188	0.190069	33	3	-1.0539	0.99985	0.99985	1.0	18874	0	-1.0539
TAF11	3	0.00011069	0.00034289	0.190594	34	3	-0.63874	0.99989	0.99989	1.0	18877	0	-0.63874
CHUK	3	0.00011586	0.00035703	0.192786	35	3	-0.56164	0.99988	0.99988	1.0	18876	0	-0.56164
SRP72	3	0.00012009	0.00037013	0.194307	36	3	-0.99583	0.99976	0.99975	1.0	18870	0	-0.99583
