id,num,pos|score,pos|p-value,pos|fdr,pos|rank,pos|goodsgrna
ACE2,4,1.40E-13,2.59E-07,0.000248,1,3
COMMD3,4,2.23E-13,2.59E-07,0.000248,2,4
KIAA0196,4,3.49E-12,2.59E-07,0.000248,3,4
C16orf62,4,1.39E-11,2.59E-07,0.000248,4,4
RAB7A,4,1.54E-11,2.59E-07,0.000248,5,4
CCDC93,4,2.72E-11,2.59E-07,0.000248,6,4
CCDC22,4,2.91E-11,2.59E-07,0.000248,7,4
COMMD2,4,4.02E-11,2.59E-07,0.000248,8,4
KIAA1033,4,9.01E-11,2.59E-07,0.000248,9,4
CTSL,4,9.16E-11,2.59E-07,0.000248,10,4
VPS29,4,1.37E-10,2.59E-07,0.000248,11,4
COMMD8,4,1.59E-10,2.59E-07,0.000248,12,4
NPC1,4,6.20E-10,2.59E-07,0.000248,13,4
WDR81,4,6.27E-10,2.59E-07,0.000248,14,4
ARPC4,4,1.29E-09,2.59E-07,0.000248,15,4
ASCC3,4,1.45E-09,2.59E-07,0.000248,16,4
COMMD7,4,1.88E-09,2.59E-07,0.000248,17,4
VPS35,4,2.44E-09,2.59E-07,0.000248,18,4
ACTR3,4,3.83E-09,2.59E-07,0.000248,19,4
COMMD3-BMI1,4,1.63E-07,2.59E-07,0.000248,20,3
TFE3,4,2.35E-07,7.77E-07,0.000646,21,3
COMMD4,4,2.40E-07,7.77E-07,0.000646,22,3
CCZ1B,4,4.15E-07,7.77E-07,0.000646,23,3
ARPC3,4,5.44E-07,1.30E-06,0.001031,24,3
NPC2,4,6.49E-07,1.81E-06,0.001386,25,3
C18orf8,4,1.12E-06,2.85E-06,0.001945,26,3
CCZ1,4,1.17E-06,2.85E-06,0.001945,27,3
ACTR2,4,1.27E-06,2.85E-06,0.001945,28,3
COMMD10,4,1.87E-06,3.89E-06,0.002561,29,3
GOLGA6L2,4,3.68E-05,7.28E-05,0.045513,30,2
COMMD5,4,3.75E-05,7.38E-05,0.045513,31,2
ATP8B1,4,6.62E-05,0.00012354,0.073793,32,2
SHOX2,4,0.00011084,0.00021937,0.12682,33,2
CCDC53,4,0.00011422,0.00022559,0.12682,34,2
WDR91,4,0.00013556,0.00027532,0.150354,35,2
SMARCB1,4,0.00014307,0.0002893,0.153603,36,2
VHL,4,0.00018195,0.00037477,0.189031,37,2
CTTN,4,0.00018314,0.00037581,0.189031,38,1
B4GALT5,4,0.00019683,0.00040533,0.198654,39,2
AKNAD1,4,0.00023545,0.00048303,0.230817,40,1
FBXW7,4,0.00026834,0.00054882,0.255856,41,2
RAVER2,4,0.00028777,0.00058715,0.267209,42,1
