Gene	sgRNA	Rep1|beta	Rep1|z	Rep1|p-value	Rep1|fdr	Rep1|wald-p-value	Rep1|wald-fdr	Rep2|beta	Rep2|z	Rep2|p-value	Rep2|fdr	Rep2|wald-p-value	Rep2|wald-fdr
PITPNB	6	0.0017936	0.011658	0.9268	0.9632	0.9907	0.9996	0.19383	1.2595	0.079476	0.21568	0.20787	0.72496
SCAMP2	6	-0.15947	-0.93729	0.092811	0.25413	0.34861	0.9996	-0.053543	-0.31407	0.66171	0.78676	0.75347	0.92307
DNAJB7	6	0.03683	0.2727	0.6374	0.79024	0.78508	0.9996	0.33193	2.4611	0.0018359	0.019457	0.01385	0.63528
MYLK4	6	-0.18931	-1.0978	0.046816	0.17045	0.27227	0.9996	-0.073286	-0.42456	0.54368	0.69716	0.67116	0.88964
UPF2	6	-0.11529	-0.92197	0.23186	0.43931	0.35655	0.9996	0.0046709	0.037347	0.94289	0.96647	0.97021	0.99157
HSD17B11	6	-0.044911	-0.32723	0.66987	0.81191	0.74349	0.9996	0.16155	1.1771	0.14451	0.30775	0.23917	0.73299
HLA-G	6	0.024126	0.12965	0.73751	0.85561	0.89684	0.9996	-0.16964	-0.90854	0.15726	0.32359	0.36359	0.77574
PEG10	6	-0.11158	-0.52113	0.24785	0.45685	0.60228	0.9996	0.25544	1.1973	0.020485	0.093578	0.2312	0.73289
CCDC28A	6	-0.024365	-0.14275	0.84433	0.9184	0.88649	0.9996	0.080916	0.47285	0.45632	0.62277	0.63632	0.87682
LGI2	6	0.22292	1.0652	0.01174	0.071513	0.2868	0.9996	0.17088	0.81216	0.12291	0.28005	0.4167	0.79799
RNF219	6	0.059648	0.33341	0.47154	0.66307	0.73883	0.9996	0.2409	1.3458	0.028795	0.11533	0.17837	0.71487
SMARCC2	6	0.23431	1.1784	0.0085516	0.060245	0.23864	0.9996	0.053346	0.26724	0.61557	0.75193	0.78929	0.93534
CCDC155	6	-0.1625	-1.1159	0.087351	0.24599	0.26445	0.9996	-0.035702	-0.24502	0.77858	0.86766	0.80644	0.94101
PCDHGA1	6	0.16888	1.4417	0.054788	0.18713	0.1494	0.9996	-0.16061	-1.362	0.18205	0.35477	0.17321	0.71445
SLC35F2	6	0.056682	0.29602	0.49275	0.6807	0.76721	0.9996	0.31721	1.6575	0.0035752	0.031787	0.097411	0.67026
PKHD1L1	6	0.104	0.59441	0.22543	0.43236	0.55224	0.9996	-0.040342	-0.22877	0.74804	0.84732	0.81905	0.9445
hsa-mir-520f	4	0.13896	0.85832	0.18929	0.38715	0.39072	0.9996	-0.080903	-0.49893	0.59349	0.73478	0.61783	0.87035
TAGAP	6	-0.23567	-1.5034	0.011982	0.072451	0.13274	0.9996	-0.15528	-0.98986	0.19698	0.37182	0.32224	0.76409
